"longitude","latitude","temperature","ndvi","valid_observations"
-122.247886,37.882845,99.95,0.373,4
-122.247569,37.882845,99.69,0.421,4
-122.247252,37.882845,99.27,0.51,4
-122.246935,37.882845,98.86,0.605,4
-122.246618,37.882845,98.6,0.597,4
-122.246301,37.882845,98.43,0.472,4
-122.245984,37.882845,97.94,0.301,4
-122.250105,37.882528,96.15,0.433,4
-122.249788,37.882528,96.57,0.567,4
-122.249471,37.882528,96.85,0.608,4
-122.249154,37.882528,97.66,0.485,4
-122.248837,37.882528,98.71,0.372,4
-122.24852,37.882528,99.67,0.343,4
-122.248203,37.882528,100.31,0.356,4
-122.247886,37.882528,100.39,0.391,4
-122.247569,37.882528,100.27,0.451,4
-122.247252,37.882528,99.83,0.521,4
-122.246935,37.882528,99.14,0.606,4
-122.246618,37.882528,98.48,0.536,4
-122.246301,37.882528,98.08,0.454,4
-122.245984,37.882528,97.63,0.321,4
-122.245667,37.882528,98.15,0.282,4
-122.24535,37.882528,98.66,0.281,4
-122.25169,37.882211,97.87,0.54,4
-122.251373,37.882211,97.37,0.438,4
-122.251056,37.882211,96.94,0.356,4
-122.250739,37.882211,96.61,0.355,4
-122.250422,37.882211,96.18,0.4,4
-122.250105,37.882211,95.81,0.442,4
-122.249788,37.882211,96.42,0.463,4
-122.249471,37.882211,97.09,0.455,4
-122.249154,37.882211,98.11,0.464,4
-122.248837,37.882211,99.07,0.434,4
-122.24852,37.882211,99.89,0.349,4
-122.248203,37.882211,100.58,0.279,4
-122.247886,37.882211,100.98,0.288,4
-122.247569,37.882211,101.15,0.36,4
-122.247252,37.882211,100.82,0.414,4
-122.246935,37.882211,99.55,0.466,4
-122.246618,37.882211,98.04,0.56,4
-122.246301,37.882211,97.08,0.581,4
-122.245984,37.882211,96.85,0.505,4
-122.245667,37.882211,98.02,0.399,4
-122.24535,37.882211,98.95,0.285,4
-122.245033,37.882211,98.49,0.235,4
-122.244716,37.882211,96.8,0.261,4
-122.25391,37.881894,91.88,0.487,4
-122.253593,37.881894,92.33,0.48,4
-122.253276,37.881894,93,0.467,4
-122.252958,37.881894,94.99,0.474,4
-122.252641,37.881894,97.33,0.459,4
-122.252324,37.881894,98.16,0.44,4
-122.252007,37.881894,98.03,0.525,4
-122.25169,37.881894,97.36,0.547,4
-122.251373,37.881894,96.6,0.472,4
-122.251056,37.881894,95.95,0.448,4
-122.250739,37.881894,95.51,0.517,4
-122.250422,37.881894,95.13,0.479,4
-122.250105,37.881894,94.89,0.482,4
-122.249788,37.881894,95.74,0.466,4
-122.249471,37.881894,96.87,0.49,4
-122.249154,37.881894,98.3,0.53,4
-122.248837,37.881894,99.39,0.511,4
-122.24852,37.881894,100.22,0.44,4
-122.248203,37.881894,100.98,0.316,4
-122.247886,37.881894,101.5,0.206,4
-122.247569,37.881894,101.8,0.243,4
-122.247252,37.881894,101.44,0.321,4
