"longitude","latitude","temperature","ndvi","valid_observations"
-119.835048,34.426606,107.86,0.115,2
-119.834736,34.426606,108.43,0.116,2
-119.834423,34.426606,108.74,0.113,2
-119.834111,34.426606,108.83,0.078,2
-119.833799,34.426606,108.52,0.087,2
-119.833487,34.426606,108.42,0.089,2
-119.833175,34.426606,108.23,0.083,2
-119.832863,34.426606,107.56,0.109,2
-119.832551,34.426606,107.01,0.139,2
-119.832238,34.426606,106.31,0.178,2
-119.831926,34.426606,105.4,0.268,2
-119.831614,34.426606,104.33,0.313,2
-119.831302,34.426606,103.34,0.322,2
-119.83099,34.426606,102.86,0.26,2
-119.830678,34.426606,102.87,0.23,2
-119.830366,34.426606,103.13,0.2,2
-119.830053,34.426606,103.01,0.224,2
-119.829741,34.426606,102.05,0.248,2
-119.829429,34.426606,101.15,0.227,2
-119.842227,34.426294,109.72,0.326,2
-119.841915,34.426294,109.81,0.3,2
-119.841603,34.426294,109.89,0.257,2
-119.841291,34.426294,109.91,0.16,2
-119.840978,34.426294,109.75,0.239,2
-119.840666,34.426294,109.42,0.265,2
-119.840354,34.426294,109.07,0.125,2
-119.840042,34.426294,108.9,0.169,2
-119.83973,34.426294,109.17,0.282,2
-119.839418,34.426294,109.08,0.271,2
-119.839106,34.426294,108.79,0.179,2
-119.838793,34.426294,108.8,0.194,2
-119.838481,34.426294,108.26,0.177,2
-119.838169,34.426294,107.45,0.097,2
-119.837857,34.426294,106.72,0.038,2
-119.837545,34.426294,106.17,0.022,2
-119.837233,34.426294,105.83,0.022,2
-119.836921,34.426294,105.73,0.023,2
-119.836608,34.426294,105.91,0.034,2
-119.836296,34.426294,106.32,0.09,2
-119.835984,34.426294,106.58,0.162,2
-119.835672,34.426294,106.56,0.171,2
-119.83536,34.426294,106.93,0.164,2
-119.835048,34.426294,107.35,0.127,2
-119.834736,34.426294,107.84,0.121,2
-119.834423,34.426294,108.14,0.129,2
-119.834111,34.426294,108.2,0.104,2
-119.833799,34.426294,107.73,0.086,2
-119.833487,34.426294,107.43,0.097,2
-119.833175,34.426294,107.03,0.106,2
-119.832863,34.426294,106.27,0.144,2
-119.832551,34.426294,105.72,0.148,2
-119.832238,34.426294,105.02,0.215,2
-119.831926,34.426294,104.04,0.304,2
-119.831614,34.426294,102.92,0.294,2
-119.831302,34.426294,101.97,0.256,2
-119.83099,34.426294,101.64,0.239,2
-119.830678,34.426294,101.82,0.259,2
-119.830366,34.426294,102.19,0.248,2
-119.830053,34.426294,102.12,0.208,2
-119.829741,34.426294,101.33,0.163,2
-119.829429,34.426294,100.09,0.147,2
-119.829117,34.426294,99.25,0.246,2
-119.828805,34.426294,99.52,0.302,2
