"longitude","latitude","temperature","ndvi","valid_observations"
-121.767687,38.569021,116.9,0.151,4
-121.767373,38.569021,116.55,0.238,4
-121.767058,38.569021,115.77,0.426,4
-121.766744,38.569021,114.87,0.418,4
-121.768315,38.568706,116.85,0.249,4
-121.768001,38.568706,117.01,0.187,4
-121.767687,38.568706,117.04,0.159,4
-121.767373,38.568706,116.71,0.234,4
-121.767058,38.568706,116.17,0.373,4
-121.766744,38.568706,115.49,0.386,4
-121.76643,38.568706,115.32,0.427,4
-121.766116,38.568706,115.14,0.419,4
-121.769572,38.568392,116.1,0.206,4
-121.769258,38.568392,116.13,0.197,4
-121.768944,38.568392,116.39,0.202,4
-121.76863,38.568392,116.7,0.267,4
-121.768315,38.568392,116.88,0.295,4
-121.768001,38.568392,116.99,0.209,4
-121.767687,38.568392,117.08,0.161,4
-121.767373,38.568392,116.84,0.231,4
-121.767058,38.568392,116.55,0.284,4
-121.766744,38.568392,116.21,0.257,4
-121.76643,38.568392,115.89,0.333,4
-121.766116,38.568392,115.63,0.407,4
-121.765801,38.568392,115.24,0.387,4
-121.770201,38.568078,117.82,0.303,4
-121.769887,38.568078,117.24,0.307,4
-121.769572,38.568078,116.78,0.32,4
-121.769258,38.568078,116.48,0.306,4
-121.768944,38.568078,116.44,0.284,4
-121.76863,38.568078,116.53,0.312,4
-121.768315,38.568078,116.6,0.336,4
-121.768001,38.568078,116.69,0.256,4
-121.767687,38.568078,116.72,0.16,4
-121.767373,38.568078,116.4,0.231,4
-121.767058,38.568078,116.09,0.294,4
-121.766744,38.568078,115.93,0.269,4
-121.76643,38.568078,115.88,0.334,4
-121.766116,38.568078,115.81,0.382,4
-121.765801,38.568078,115.45,0.405,4
-121.765487,38.568078,114.96,0.437,4
-121.765173,38.568078,114.39,0.498,4
-121.764859,38.568078,113.9,0.539,4
-121.77083,38.567764,118.41,0.329,4
-121.770515,38.567764,118.14,0.363,4
-121.770201,38.567764,117.78,0.394,4
-121.769887,38.567764,117.33,0.395,4
-121.769572,38.567764,116.87,0.42,4
-121.769258,38.567764,116.48,0.424,4
-121.768944,38.567764,116.42,0.394,4
-121.76863,38.567764,116.47,0.324,4
-121.768315,38.567764,116.42,0.25,4
-121.768001,38.567764,116.29,0.195,4
-121.767687,38.567764,116.01,0.172,4
-121.767373,38.567764,115.4,0.306,4
-121.767058,38.567764,114.95,0.376,4
-121.766744,38.567764,114.87,0.325,4
-121.76643,38.567764,115.1,0.355,4
-121.766116,38.567764,115.43,0.355,4
-121.765801,38.567764,115.76,0.355,4
-121.765487,38.567764,115.52,0.383,4
-121.765173,38.567764,114.77,0.46,4
-121.764859,38.567764,113.16,0.522,4
-121.764544,38.567764,111.58,0.515,4
-121.772401,38.567449,120.1,0.115,4
-121.772087,38.567449,119.69,0.106,4
-121.771772,38.567449,119.11,0.088,4
-121.771458,38.567449,119,0.099,4
-121.771144,38.567449,118.73,0.168,4
-121.77083,38.567449,118.16,0.26,4
-121.770515,38.567449,117.97,0.325,4
-121.770201,38.567449,117.73,0.343,4
-121.769887,38.567449,117.43,0.312,4
-121.769572,38.567449,117.12,0.324,4
-121.769258,38.567449,116.84,0.349,4
-121.768944,38.567449,116.77,0.38,4
-121.76863,38.567449,116.73,0.341,4
-121.768315,38.567449,116.55,0.252,4
