"longitude","latitude","temperature","ndvi","valid_observations"
-118.447696,34.077861,95.66,0.624,4
-118.447399,34.077861,95.82,0.644,4
-118.447103,34.077861,95.7,0.687,4
-118.446806,34.077861,95.56,0.742,4
-118.446509,34.077861,95.52,0.768,4
-118.446212,34.077861,95.58,0.739,4
-118.445916,34.077861,97.21,0.705,4
-118.445619,34.077861,97.93,0.711,4
-118.445322,34.077861,97.69,0.747,4
-118.445025,34.077861,97.55,0.757,4
-118.444728,34.077861,97.55,0.681,4
-118.444432,34.077861,97.53,0.549,4
-118.444135,34.077861,97.16,0.532,4
-118.443838,34.077861,95.08,0.545,4
-118.443541,34.077861,95.49,0.256,4
-118.443245,34.077861,97.94,0.193,3
-118.442948,34.077861,96.55,0.4,4
-118.442651,34.077861,95.63,0.473,4
-118.442354,34.077861,95.21,0.429,4
-118.442058,34.077861,95.08,0.364,4
-118.441761,34.077861,95.32,0.325,4
-118.441464,34.077861,95.91,0.359,4
-118.441167,34.077861,96.96,0.469,4
-118.44087,34.077861,98.49,0.547,4
-118.440574,34.077861,99.34,0.57,4
-118.440277,34.077861,100.08,0.564,4
-118.43998,34.077861,100.28,0.472,4
-118.439683,34.077861,102.82,0.334,3
-118.439387,34.077861,102.11,0.352,4
-118.43909,34.077861,102.03,0.361,4
-118.438793,34.077861,102.31,0.306,4
-118.438496,34.077861,102.28,0.25,4
-118.4382,34.077861,101.27,0.284,4
-118.437903,34.077861,99.66,0.404,4
-118.437606,34.077861,99.35,0.479,4
-118.437309,34.077861,99.23,0.444,4
-118.437012,34.077861,99.13,0.478,4
-118.45007,34.077564,98.27,0.691,4
-118.449774,34.077564,95.93,0.731,4
-118.449477,34.077564,95.21,0.709,4
-118.44918,34.077564,94.89,0.728,4
-118.448883,34.077564,94.66,0.763,4
-118.448586,34.077564,94.68,0.753,4
-118.44829,34.077564,94.89,0.714,4
-118.447993,34.077564,95.26,0.668,4
-118.447696,34.077564,95.44,0.668,4
-118.447399,34.077564,95.57,0.675,4
-118.447103,34.077564,95.56,0.711,4
-118.446806,34.077564,95.52,0.753,4
-118.446509,34.077564,95.62,0.745,4
-118.446212,34.077564,95.81,0.703,4
-118.445916,34.077564,97.5,0.71,4
-118.445619,34.077564,98.38,0.718,4
-118.445322,34.077564,98.28,0.733,4
-118.445025,34.077564,98.28,0.743,4
-118.444728,34.077564,98.36,0.639,4
-118.444432,34.077564,98.31,0.436,4
-118.444135,34.077564,97.84,0.444,4
-118.443838,34.077564,95.79,0.429,4
-118.443541,34.077564,97.73,0.258,3
-118.443245,34.077564,96.32,0.297,4
-118.442948,34.077564,95.97,0.457,4
-118.442651,34.077564,95.48,0.525,4
-118.442354,34.077564,94.99,0.483,4
-118.442058,34.077564,94.83,0.404,4
-118.441761,34.077564,95.1,0.38,4
-118.441464,34.077564,95.8,0.424,4
-118.441167,34.077564,96.99,0.48,4
-118.44087,34.077564,98.82,0.54,4
-118.440574,34.077564,100.14,0.524,4
-118.440277,34.077564,101.43,0.446,4
-118.43998,34.077564,103.34,0.201,3
-118.439683,34.077564,103.97,0.105,3
-118.439387,34.077564,102.62,0.225,4
-118.43909,34.077564,102.16,0.285,4
-118.438793,34.077564,102.24,0.326,4
-118.438496,34.077564,102.18,0.415,4
-118.4382,34.077564,101.1,0.502,4
-118.437903,34.077564,99.34,0.522,4
-118.437606,34.077564,99.16,0.51,4
-118.437309,34.077564,98.84,0.559,4
-118.437012,34.077564,98.77,0.515,4
-118.456006,34.077267,97.01,0.461,3
-118.455709,34.077267,96.57,0.552,3
-118.455412,34.077267,96.05,0.709,3
-118.455115,34.077267,96.53,0.748,3
-118.454819,34.077267,98.25,0.689,3
-118.454522,34.077267,98.32,0.609,3
-118.454225,34.077267,98.68,0.609,3
-118.453928,34.077267,98.19,0.583,3
-118.453632,34.077267,98.76,0.434,3
-118.453335,34.077267,99.08,0.539,3
-118.453038,34.077267,98.63,0.559,3
-118.452741,34.077267,98.6,0.508,3
-118.452444,34.077267,98.73,0.476,3
-118.452148,34.077267,98.7,0.516,3
-118.451851,34.077267,98.53,0.629,3
-118.451554,34.077267,98.34,0.744,3
-118.451257,34.077267,98.73,0.774,3
-118.450961,34.077267,100.49,0.791,3
-118.450664,34.077267,100.41,0.771,3
-118.450367,34.077267,100.29,0.737,3
-118.45007,34.077267,99.26,0.744,3
-118.449774,34.077267,96.1,0.754,4
-118.449477,34.077267,95,0.722,4
-118.44918,34.077267,94.77,0.723,4
-118.448883,34.077267,94.56,0.756,4
-118.448586,34.077267,94.54,0.759,4
-118.44829,34.077267,94.7,0.715,4
-118.447993,34.077267,94.95,0.68,4
-118.447696,34.077267,95.16,0.685,4
-118.447399,34.077267,95.38,0.66,4
-118.447103,34.077267,95.53,0.698,4
-118.446806,34.077267,95.7,0.733,4
-118.446509,34.077267,96.06,0.669,4
-118.446212,34.077267,96.32,0.664,4
-118.445916,34.077267,98.11,0.729,4
-118.445619,34.077267,99.23,0.728,4
-118.445322,34.077267,99.34,0.709,4
-118.445025,34.077267,99.45,0.723,4
-118.444728,34.077267,99.53,0.654,4
-118.444432,34.077267,99.4,0.501,4
-118.444135,34.077267,98.84,0.515,4
-118.443838,34.077267,96.3,0.482,4
-118.443541,34.077267,96.2,0.449,4
-118.443245,34.077267,95.39,0.404,4
-118.442948,34.077267,97.22,0.364,3
-118.442651,34.077267,95.93,0.534,4
-118.442354,34.077267,94.63,0.611,4
-118.442058,34.077267,94.48,0.643,4
-118.441761,34.077267,94.9,0.688,4
-118.441464,34.077267,95.82,0.663,4
-118.441167,34.077267,97.29,0.608,4
-118.44087,34.077267,99.62,0.555,4
-118.440574,34.077267,101.58,0.451,4
-118.440277,34.077267,103.26,0.202,4
-118.43998,34.077267,103.62,0.075,4
-118.439683,34.077267,103.29,0.171,4
-118.439387,34.077267,102.67,0.309,4
-118.43909,34.077267,102.19,0.361,4
-118.438793,34.077267,101.99,0.393,4
-118.438496,34.077267,101.95,0.496,4
-118.4382,34.077267,101.01,0.578,4
-118.437903,34.077267,99.3,0.525,4
-118.437606,34.077267,99.19,0.472,4
-118.437309,34.077267,98.93,0.474,4
-118.437012,34.077267,98.87,0.389,4
-118.457193,34.07697,99.35,0.387,3
-118.456896,34.07697,99.18,0.432,3
-118.456599,34.07697,98.51,0.563,3
-118.456302,34.07697,98.03,0.569,3
-118.456006,34.07697,97.73,0.499,3
-118.455709,34.07697,97.31,0.514,3
-118.455412,34.07697,96.74,0.592,3
-118.455115,34.07697,97,0.615,3
-118.454819,34.07697,98.49,0.588,3
-118.454522,34.07697,98.6,0.515,3
-118.454225,34.07697,99.02,0.478,3
-118.453928,34.07697,98.5,0.487,3
-118.453632,34.07697,98.93,0.486,3
-118.453335,34.07697,99.23,0.519,3
-118.453038,34.07697,98.65,0.589,3
-118.452741,34.07697,98.32,0.635,3
-118.452444,34.07697,98.23,0.671,3
-118.452148,34.07697,98.11,0.7,3
-118.451851,34.07697,97.99,0.726,3
-118.451554,34.07697,97.91,0.763,3
-118.451257,34.07697,98.25,0.778,3
-118.450961,34.07697,100.06,0.797,3
-118.450664,34.07697,100.01,0.806,3
-118.450367,34.07697,99.92,0.808,3
-118.45007,34.07697,99.73,0.804,3
-118.449774,34.07697,97.12,0.782,3
-118.449477,34.07697,95.18,0.737,4
-118.44918,34.07697,94.58,0.709,4
-118.448883,34.07697,94.49,0.735,4
-118.448586,34.07697,94.44,0.768,4
-118.44829,34.07697,94.58,0.731,4
-118.447993,34.07697,94.86,0.671,4
-118.447696,34.07697,94.95,0.702,4
-118.447399,34.07697,95.44,0.638,4
-118.447103,34.07697,95.97,0.593,4
-118.446806,34.07697,96.37,0.593,4
-118.446509,34.07697,96.96,0.523,4
-118.446212,34.07697,97.14,0.594,4
