"longitude","latitude","temperature","ndvi","valid_observations"
-120.418538,37.384189,127.86,0.266,4
-120.418236,37.384189,128.14,0.258,4
-120.417934,37.384189,128.09,0.241,4
-120.420654,37.383886,123.91,0.266,4
-120.420352,37.383886,124.95,0.261,4
-120.420049,37.383886,126,0.255,4
-120.419747,37.383886,126.79,0.261,4
-120.419445,37.383886,127.26,0.265,4
-120.419143,37.383886,127.7,0.258,4
-120.41884,37.383886,128.05,0.26,4
-120.418538,37.383886,128.25,0.258,4
-120.418236,37.383886,128.6,0.252,4
-120.417934,37.383886,128.38,0.244,4
-120.417631,37.383886,128.44,0.241,4
-120.421561,37.383584,111.76,0.355,4
-120.421259,37.383584,117.69,0.265,4
-120.420956,37.383584,120.73,0.264,4
-120.420654,37.383584,123.22,0.262,4
-120.420352,37.383584,124.88,0.255,4
-120.420049,37.383584,126,0.25,4
-120.419747,37.383584,126.73,0.249,4
-120.419445,37.383584,127.39,0.248,4
-120.419143,37.383584,127.97,0.244,4
-120.41884,37.383584,128.53,0.249,4
-120.418538,37.383584,128.77,0.252,4
-120.418236,37.383584,128.89,0.25,4
-120.417934,37.383584,128.59,0.246,4
-120.417631,37.383584,128.59,0.244,4
-120.42277,37.383282,94.95,0.557,4
-120.422468,37.383282,96.94,0.592,4
-120.422165,37.383282,100.07,0.566,4
-120.421863,37.383282,104.84,0.509,4
-120.421561,37.383282,111.17,0.363,4
-120.421259,37.383282,117.44,0.251,4
-120.420956,37.383282,120.37,0.259,4
-120.420654,37.383282,122.86,0.258,4
-120.420352,37.383282,124.87,0.255,4
-120.420049,37.383282,126.06,0.252,4
-120.419747,37.383282,126.83,0.25,4
-120.419445,37.383282,127.52,0.247,4
-120.419143,37.383282,128.15,0.244,4
-120.41884,37.383282,128.73,0.25,4
-120.418538,37.383282,128.98,0.251,4
-120.418236,37.383282,129.13,0.253,4
-120.417934,37.383282,128.82,0.252,4
-120.417631,37.383282,128.8,0.251,4
-120.417329,37.383282,128.87,0.248,4
-120.417027,37.383282,128.93,0.246,4
-120.416724,37.383282,128.98,0.245,4
-120.423374,37.38298,83.93,-0.203,4
-120.423072,37.38298,85.19,-0.088,4
-120.42277,37.38298,89.25,-0.002,4
-120.422468,37.38298,93.61,0.069,4
-120.422165,37.38298,97.8,0.271,4
-120.421863,37.38298,103.95,0.515,4
-120.421561,37.38298,110.98,0.426,4
-120.421259,37.38298,117.36,0.262,4
-120.420956,37.38298,120.48,0.262,4
-120.420654,37.38298,123.26,0.26,4
-120.420352,37.38298,125.45,0.259,4
-120.420049,37.38298,126.53,0.257,4
-120.419747,37.38298,127.2,0.256,4
-120.419445,37.38298,127.88,0.251,4
-120.419143,37.38298,128.41,0.246,4
-120.41884,37.38298,128.73,0.25,4
-120.418538,37.38298,128.95,0.252,4
-120.418236,37.38298,129.12,0.255,4
-120.417934,37.38298,128.8,0.255,4
-120.417631,37.38298,128.78,0.256,4
-120.417329,37.38298,128.79,0.254,4
-120.417027,37.38298,128.78,0.25,4
-120.416724,37.38298,128.77,0.244,4
-120.416422,37.38298,128.74,0.239,4
-120.424281,37.382677,79.4,-0.195,4
-120.423979,37.382677,80.07,-0.22,4
-120.423677,37.382677,80.87,-0.22,4
-120.423374,37.382677,81.78,-0.199,4
-120.423072,37.382677,83.06,-0.206,4
-120.42277,37.382677,85.2,-0.238,4
-120.422468,37.382677,88.46,-0.207,4
-120.422165,37.382677,94.8,0.108,4
-120.421863,37.382677,103.92,0.494,4
-120.421561,37.382677,111.37,0.364,4
-120.421259,37.382677,117.54,0.271,4
-120.420956,37.382677,120.58,0.267,4
-120.420654,37.382677,123.55,0.262,4
-120.420352,37.382677,125.81,0.259,4
-120.420049,37.382677,126.8,0.258,4
-120.419747,37.382677,127.44,0.257,4
-120.419445,37.382677,128.1,0.256,4
-120.419143,37.382677,128.55,0.258,4
-120.41884,37.382677,128.74,0.261,4
-120.418538,37.382677,128.92,0.257,4
-120.418236,37.382677,129.07,0.254,4
-120.417934,37.382677,128.71,0.255,4
-120.417631,37.382677,128.68,0.258,4
-120.417329,37.382677,128.65,0.255,4
-120.417027,37.382677,128.6,0.249,4
-120.416724,37.382677,128.6,0.242,4
-120.416422,37.382677,128.63,0.236,4
-120.426397,37.382375,76.53,-0.136,4
-120.426095,37.382375,76.37,-0.123,4
-120.425793,37.382375,76.34,-0.115,4
-120.42549,37.382375,76.67,-0.122,4
-120.425188,37.382375,76.93,-0.131,4
-120.424886,37.382375,77.19,-0.14,4
-120.424584,37.382375,77.53,-0.149,4
-120.424281,37.382375,78.02,-0.157,4
-120.423979,37.382375,78.62,-0.168,4
-120.423677,37.382375,79.3,-0.174,4
-120.423374,37.382375,80.25,-0.161,4
-120.423072,37.382375,81.64,-0.147,4
-120.42277,37.382375,83.95,-0.142,4
-120.422468,37.382375,88.91,-0.08,4
-120.422165,37.382375,96.31,0.233,4
-120.421863,37.382375,104.61,0.514,4
-120.421561,37.382375,112.22,0.31,4
-120.421259,37.382375,117.97,0.261,4
-120.420956,37.382375,120.91,0.263,4
-120.420654,37.382375,123.89,0.263,4
-120.420352,37.382375,126.06,0.259,4
-120.420049,37.382375,126.93,0.257,4
-120.419747,37.382375,127.57,0.256,4
-120.419445,37.382375,128.22,0.257,4
-120.419143,37.382375,128.61,0.26,4
-120.41884,37.382375,128.72,0.262,4
-120.418538,37.382375,128.86,0.26,4
-120.418236,37.382375,128.96,0.26,4
-120.417934,37.382375,128.57,0.256,4
-120.417631,37.382375,128.56,0.256,4
-120.417329,37.382375,128.53,0.253,4
-120.417027,37.382375,128.48,0.249,4
-120.416724,37.382375,128.51,0.243,4
-120.416422,37.382375,128.61,0.239,4
-120.41612,37.382375,128.7,0.24,4
-120.427304,37.382073,75.85,-0.185,4
-120.427002,37.382073,75.99,-0.199,4
-120.426699,37.382073,76.07,-0.171,4
-120.426397,37.382073,76.18,-0.12,4
-120.426095,37.382073,76.14,-0.102,4
-120.425793,37.382073,76.17,-0.102,4
-120.42549,37.382073,76.25,-0.108,4
-120.425188,37.382073,76.38,-0.115,4
-120.424886,37.382073,76.55,-0.121,4
-120.424584,37.382073,76.82,-0.127,4
-120.424281,37.382073,77.23,-0.131,4
-120.423979,37.382073,77.74,-0.128,4
-120.423677,37.382073,78.31,-0.13,4
-120.423374,37.382073,79.28,-0.13,4
-120.423072,37.382073,80.74,-0.129,4
-120.42277,37.382073,83.16,-0.129,4
-120.422468,37.382073,89.5,-0.05,4
-120.422165,37.382073,97.67,0.26,4
-120.421863,37.382073,105.56,0.482,4
-120.421561,37.382073,113.05,0.292,4
-120.421259,37.382073,118.29,0.249,4
-120.420956,37.382073,121.26,0.26,4
-120.420654,37.382073,124.2,0.263,4
-120.420352,37.382073,126.21,0.26,4
-120.420049,37.382073,126.96,0.261,4
-120.419747,37.382073,127.61,0.257,4
-120.419445,37.382073,128.26,0.256,4
-120.419143,37.382073,128.57,0.26,4
-120.41884,37.382073,128.61,0.261,4
-120.418538,37.382073,128.7,0.261,4
-120.418236,37.382073,128.75,0.261,4
-120.417934,37.382073,128.35,0.262,4
-120.417631,37.382073,128.38,0.255,4
-120.417329,37.382073,128.39,0.249,4
-120.417027,37.382073,128.42,0.248,4
-120.416724,37.382073,128.5,0.245,4
-120.416422,37.382073,128.64,0.242,4
-120.41612,37.382073,128.76,0.242,4
-120.415818,37.382073,128.79,0.244,4
-120.428513,37.381771,75.33,-0.133,3
-120.428211,37.381771,75.29,-0.126,4
-120.427909,37.381771,75.31,-0.126,4
-120.427606,37.381771,75.42,-0.134,4
-120.427304,37.381771,75.52,-0.147,4
-120.427002,37.381771,75.6,-0.157,4
-120.426699,37.381771,75.68,-0.142,4
-120.426397,37.381771,75.75,-0.103,4
-120.426095,37.381771,75.8,-0.093,4
-120.425793,37.381771,75.88,-0.095,4
-120.42549,37.381771,75.98,-0.098,4
-120.425188,37.381771,76.09,-0.1,4
-120.424886,37.381771,76.24,-0.103,4
-120.424584,37.381771,76.5,-0.108,4
-120.424281,37.381771,76.89,-0.112,4
-120.423979,37.381771,77.35,-0.112,4
-120.423677,37.381771,77.85,-0.108,4
-120.423374,37.381771,78.79,-0.102,4
-120.423072,37.381771,80.4,-0.111,4
-120.42277,37.381771,82.79,-0.121,4
-120.422468,37.381771,89.73,0.017,4
-120.422165,37.381771,98.35,0.326,4
-120.421863,37.381771,106.34,0.484,4
-120.421561,37.381771,113.46,0.322,4
-120.421259,37.381771,118.3,0.24,4
-120.420956,37.381771,121.42,0.263,4
-120.420654,37.381771,124.37,0.265,4
-120.420352,37.381771,126.23,0.264,4
-120.420049,37.381771,126.93,0.262,4
-120.419747,37.381771,127.62,0.258,4
-120.419445,37.381771,128.23,0.257,4
-120.419143,37.381771,128.46,0.26,4
-120.41884,37.381771,128.43,0.262,4
-120.418538,37.381771,128.45,0.263,4
-120.418236,37.381771,128.46,0.261,4
-120.417934,37.381771,128.07,0.261,4
-120.417631,37.381771,128.17,0.253,4
-120.417329,37.381771,128.26,0.251,4
-120.417027,37.381771,128.34,0.255,4
-120.416724,37.381771,128.46,0.247,4
-120.416422,37.381771,128.62,0.238,4
-120.41612,37.381771,128.77,0.239,4
-120.415818,37.381771,128.87,0.241,4
-120.415515,37.381771,129.02,0.244,4
-120.42942,37.381468,75.06,-0.173,2
-120.429118,37.381468,74.96,-0.171,2
-120.428815,37.381468,75.07,-0.18,3
-120.428513,37.381468,75.15,-0.155,3
