"longitude","latitude","temperature","ndvi","valid_observations"
-117.317451,33.991713,125.9,0.307,3
-117.317147,33.991713,125.18,0.306,3
-117.316842,33.991713,124.76,0.342,3
-117.316538,33.991713,124.57,0.334,3
-117.316234,33.991713,124.7,0.355,3
-117.31593,33.991713,125.19,0.232,3
-117.318972,33.991409,130.32,0.19,3
-117.318668,33.991409,129.83,0.187,3
-117.318364,33.991409,129.03,0.199,3
-117.318059,33.991409,128.29,0.276,3
-117.317755,33.991409,127.47,0.36,3
-117.317451,33.991409,126.57,0.358,3
-117.317147,33.991409,125.86,0.29,3
-117.316842,33.991409,125.41,0.229,3
-117.316538,33.991409,125.14,0.259,3
-117.316234,33.991409,125.23,0.323,3
-117.31593,33.991409,125.65,0.203,3
-117.320189,33.991105,127.58,0.173,3
-117.319885,33.991105,128.93,0.182,3
-117.319581,33.991105,129.84,0.186,3
-117.319276,33.991105,130.26,0.188,3
-117.318972,33.991105,130.32,0.189,3
-117.318668,33.991105,130.12,0.187,3
-117.318364,33.991105,129.73,0.192,3
-117.318059,33.991105,129.31,0.213,3
-117.317755,33.991105,128.82,0.257,3
-117.317451,33.991105,128.16,0.279,3
-117.317147,33.991105,127.48,0.246,3
-117.316842,33.991105,126.89,0.236,3
-117.316538,33.991105,126.41,0.261,3
-117.316234,33.991105,126.13,0.203,3
-117.31593,33.991105,125.99,0.178,3
-117.315625,33.991105,123.71,0.249,4
-117.321406,33.990801,120.15,0.168,3
-117.321102,33.990801,121.36,0.173,3
-117.320798,33.990801,122.87,0.167,3
-117.320494,33.990801,124.64,0.167,3
-117.320189,33.990801,126.11,0.169,3
-117.319885,33.990801,126.97,0.17,3
-117.319581,33.990801,127.85,0.174,3
-117.319276,33.990801,128.59,0.179,3
-117.318972,33.990801,129.56,0.179,3
-117.318668,33.990801,130.08,0.176,3
-117.318364,33.990801,130.22,0.183,3
-117.318059,33.990801,130.2,0.213,3
-117.317755,33.990801,130,0.253,3
-117.317451,33.990801,129.7,0.255,3
-117.317147,33.990801,129.29,0.235,3
-117.316842,33.990801,128.64,0.28,3
-117.316538,33.990801,127.94,0.285,3
-117.316234,33.990801,127.1,0.214,3
-117.31593,33.990801,126,0.211,3
-117.315625,33.990801,122.94,0.354,4
-117.323232,33.990496,121.69,0.177,3
-117.322928,33.990496,120.61,0.176,3
-117.322623,33.990496,119.51,0.175,3
-117.322319,33.990496,118.77,0.17,3
-117.322015,33.990496,118.6,0.168,3
