"longitude","latitude","temperature","ndvi","valid_observations"
-122.043975,37.008937,82.16,0.418,3
-122.043669,37.008937,81.72,0.431,3
-122.043363,37.008937,81.32,0.593,3
-122.043056,37.008937,80.89,0.63,3
-122.04275,37.008937,79.75,0.57,3
-122.042444,37.008937,77.82,0.6,3
-122.042138,37.008937,76.08,0.693,3
-122.041831,37.008937,75.31,0.73,3
-122.041525,37.008937,74.37,0.767,3
-122.041219,37.008937,73.62,0.79,3
-122.040913,37.008937,72.64,0.846,3
-122.040606,37.008937,71.87,0.862,3
-122.0403,37.008937,71.25,0.865,3
-122.049181,37.008631,69.48,0.864,3
-122.048875,37.008631,69.55,0.842,3
-122.048569,37.008631,69.66,0.829,3
-122.048263,37.008631,69.83,0.836,3
-122.047956,37.008631,70.01,0.858,3
-122.04765,37.008631,70.13,0.873,3
-122.047344,37.008631,70.33,0.861,3
-122.047038,37.008631,70.61,0.859,3
-122.046731,37.008631,71.01,0.835,3
-122.046425,37.008631,71.67,0.807,3
-122.046119,37.008631,72.24,0.8,3
-122.045813,37.008631,72.57,0.802,3
-122.045506,37.008631,72.94,0.785,3
-122.0452,37.008631,73.56,0.762,3
-122.044894,37.008631,74.53,0.806,3
-122.044588,37.008631,76.2,0.79,3
-122.044281,37.008631,78.27,0.627,3
-122.043975,37.008631,79.3,0.626,3
-122.043669,37.008631,79.44,0.595,3
-122.043363,37.008631,79.77,0.557,3
-122.043056,37.008631,79.48,0.62,3
-122.04275,37.008631,78.49,0.7,3
-122.042444,37.008631,77.23,0.713,3
-122.042138,37.008631,76.21,0.713,3
-122.041831,37.008631,75.87,0.752,3
-122.041525,37.008631,75.39,0.752,3
-122.041219,37.008631,74.96,0.715,3
-122.040913,37.008631,73.85,0.794,3
-122.040606,37.008631,72.8,0.81,3
-122.0403,37.008631,71.88,0.825,3
-122.060207,37.008325,70.97,0.856,3
-122.0599,37.008325,70.91,0.852,3
-122.059594,37.008325,70.78,0.862,3
-122.059288,37.008325,70.7,0.878,3
-122.058982,37.008325,70.7,0.887,3
-122.058675,37.008325,70.74,0.886,3
-122.058369,37.008325,70.84,0.881,3
-122.058063,37.008325,70.92,0.889,3
-122.057757,37.008325,71.01,0.888,3
-122.05745,37.008325,71.16,0.884,3
-122.057144,37.008325,71.1,0.872,3
