"longitude","latitude","temperature","ndvi","valid_observations"
-117.252959,32.901152,86.94,0.21,1
-117.252655,32.901152,86.89,0.242,1
-117.252352,32.901152,86.84,0.351,1
-117.252048,32.901152,86.51,0.691,1
-117.251744,32.901152,86.99,0.746,1
-117.251441,32.901152,88,0.692,1
-117.251137,32.901152,88.99,0.687,1
-117.250833,32.901152,89.73,0.678,1
-117.25053,32.901152,90.11,0.649,1
-117.250226,32.901152,90.17,0.675,1
-117.249922,32.901152,90.04,0.728,1
-117.249619,32.901152,90.04,0.666,1
-117.249315,32.901152,90.01,0.601,1
-117.249011,32.901152,89.74,0.638,1
-117.248707,32.901152,89.4,0.7,1
-117.248404,32.901152,89.11,0.733,1
-117.2481,32.901152,88.99,0.675,1
-117.247796,32.901152,88.91,0.6,1
-117.247493,32.901152,88.94,0.567,1
-117.247189,32.901152,89.22,0.493,1
-117.246885,32.901152,89.31,0.52,1
-117.246582,32.901152,89.13,0.67,1
-117.246278,32.901152,89.03,0.762,1
-117.245974,32.901152,89.2,0.713,1
-117.24567,32.901152,88.33,0.617,2
-117.245367,32.901152,88.6,0.616,2
-117.252655,32.900848,87.2,0.26,1
-117.252352,32.900848,86.95,0.393,1
-117.252048,32.900848,86.5,0.69,1
-117.251744,32.900848,86.97,0.711,1
-117.251441,32.900848,88.06,0.656,1
-117.251137,32.900848,88.86,0.717,1
-117.250833,32.900848,89.38,0.724,1
-117.25053,32.900848,89.66,0.679,1
-117.250226,32.900848,89.65,0.693,1
-117.249922,32.900848,89.53,0.729,1
-117.249619,32.900848,89.49,0.704,1
-117.249315,32.900848,89.41,0.679,1
-117.249011,32.900848,89.9,0.704,1
-117.248707,32.900848,90.66,0.716,1
-117.248404,32.900848,90.39,0.674,1
-117.2481,32.900848,89.66,0.604,1
-117.247796,32.900848,88.25,0.566,1
-117.247493,32.900848,88.14,0.607,1
-117.247189,32.900848,88.43,0.542,1
-117.246885,32.900848,88.77,0.574,1
-117.246582,32.900848,88.92,0.708,1
